Time	Male	Femal	Zombies
1	22265	20412	2
2	22264	20413	2
3	22265	20415	2
4	22265	20415	2
5	22265	20415	2
6	22265	20415	2
7	22264	20415	3
8	22264	20417	3
9	22264	20417	3
10	22264	20418	3
11	22266	20419	3
12	22264	20419	3
13	22265	20418	3
14	22265	20419	4
15	22265	20419	4
16	22265	20418	5
17	22265	20417	5
18	22267	20418	5
19	22267	20419	5
20	22267	20419	5
21	22269	20419	5
22	22268	20419	6
23	22269	20420	6
24	22272	20423	6
25	22273	20423	6
26	22274	20423	7
27	22275	20421	7
28	22274	20424	7
29	22275	20425	8
30	22274	20426	9
31	22275	20426	9
32	22275	20427	9
33	22278	20426	9
34	22279	20425	9
35	22279	20425	9
36	22278	20424	10
37	22278	20424	10
38	22278	20426	10
39	22279	20426	9
40	22279	20425	9
41	22279	20428	9
42	22278	20428	10
43	22278	20428	11
44	22278	20429	11
45	22276	20431	12
46	22276	20431	13
47	22276	20431	13
48	22276	20431	13
49	22276	20431	13
50	22277	20430	13
51	22278	20431	13
52	22279	20433	13
53	22279	20433	13
54	22280	20434	13
55	22280	20433	13
56	22281	20433	13
57	22281	20432	13
58	22281	20432	13
59	22282	20434	13
60	22282	20433	14
61	22283	20435	14
62	22285	20436	14
63	22289	20436	15
64	22290	20437	14
65	22293	20435	15
66	22293	20435	15
67	22293	20434	15
68	22293	20436	15
69	22293	20436	16
70	22293	20437	16
71	22295	20438	16
72	22296	20436	17
73	22297	20438	18
74	22298	20438	19
75	22298	20438	19
76	22298	20438	19
77	22298	20438	19
78	22299	20439	19
79	22299	20438	19
80	22299	20436	21
81	22298	20436	21
82	22298	20438	21
83	22298	20439	21
84	22298	20439	21
85	22298	20439	20
86	22298	20440	19
87	22298	20441	19
88	22300	20441	19
89	22300	20440	18
90	22299	20441	19
91	22299	20441	20
92	22299	20441	20
93	22297	20442	22
94	22296	20441	23
95	22294	20442	23
96	22294	20442	23
97	22293	20442	24
98	22293	20442	24
99	22294	20442	24
100	22292	20442	26
101	22292	20442	26
102	22291	20442	28
103	22292	20441	26
104	22293	20441	26
105	22293	20441	26
106	22295	20441	26
107	22296	20442	26
108	22296	20442	26
109	22296	20443	26
110	22295	20444	27
111	22296	20442	30
112	22296	20444	30
113	22296	20441	30
114	22297	20440	32
115	22296	20440	34
116	22296	20440	33
117	22297	20439	34
118	22296	20437	38
119	22297	20438	38
120	22298	20439	37
121	22297	20440	37
122	22297	20440	37
